Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Como Lidar com Pessoas Difíceis no Trabalho,"Em todos os locais de trabalho, você perceberá que é mais difícil trabalhar com alguns colegas do que com outros. Antes de julgar precipitadamente, é prudente verificar se e como você contribui para a situação - afinal, é possível que você seja o problema. Se constatar que o problema não é você, este curso será ainda mais útil.<br><br>
Nele, Chris Croft compartilha métodos para reconhecer as características de alguns dos tipos mais comuns de pessoas difíceis e estratégias para lidar com essas pessoas de uma forma mais efetiva. Chris oferece técnicas para lidar com uma variedade de comportamentos, que incluem a negatividade, agressividade, infantilidade e egoísmo. Além disso, ele explica como superar seus pensamentos negativos e obter o melhor de um chefe difícil.",Course,2021-11-03 13:35 UTC,N/A,false,N/A,
"Japanese, Part 1: Basic Sounds, Phrases, and Characters","<p>In this course, Yuki Sasaki Caldwell—an experienced instructor of Japanese Language in the Department of Comparative Literature and Intercultural Studies at the University of Georgia (UGA)—teaches you the building blocks you need to begin your study of Japanese. Learn the five vowel and 15 consonant sounds of Japanese, only two of which differ significantly from English. Unlike the English alphabet, each Japanese character can represent a syllable, not just a single sound. Get an introduction to the three Japanese writing methods—hiragana, katakana, and kanji—and begin exploring how and when to use each. </p>

<p>This course was created by The Great Courses. We are pleased to host this training in our library.</p>",Course,2025-08-12 12:38 UTC,N/A,false,N/A,
Como Vencer a Procrastinação,"A procrastinação está afetando seu trabalho? Descubra, em apenas 20 minutos, por que isso acontece e saiba como se preparar para vencer a procrastinação no futuro. A autora e professora Brenda Bailey-Hughes, da Kelley School of Business, mostra como diferenciar a procrastinação de outros comportamentos, identificar os motivos e usar estratégias que ajudarão você a lidar com a procrastinação e aumentar sua produtividade.",Course,2020-04-24 11:43 UTC,N/A,false,N/A,
Learning System Center 2016 Service Manager,"System Center 2016 Service Manager (SM) offers an integrated platform that can help IT administrators and help desk technicians implement, track, and support IT service requests and enterprise incident and problem management. SM provides a centralized repository of corporate IT asset information such as users and computers. With SM, you can configure how incidents, problems, and change requests are handled. In addition, the customizable Self-Service Portal allows IT service request submission and IT resource provisioning by the end user. In this course, Daniel Lachance covers how to implement, customize, and manage an SM ecosystem. Explore the benefits of SM, how to install the SM management and data warehouse servers, and how to configure key settings. In addition, learn how to publish a service offering to the Self-Service Portal, create incidents, problems, and change requests, and more.",Course,2019-03-20 12:33 UTC,N/A,false,N/A,
Embracing Unexpected Change,"<p>When we’re caught off guard by a job loss or the crumbling of a personal relationship, it can be tough to move forward. But while we can’t avoid these kinds of unexpected changes, we can control how we deal with them. In this short course, Dr. Todd Dewett explains how you can harness the power of change for your benefit and the benefit of those around you. Learn how to put change in the proper context, create the right perspective, and ultimately become more resilient. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/professional-soft-skills-learning-pathway"" target=""_blank"">Professional Certificate</a> from Microsoft.</p>",Course,2025-01-14 14:13 UTC,N/A,false,N/A,
Java: Practice Unit Testing,"<p>The beauty of test-driven development is that it allows you to iterate your codebase one step at a time, testing and reworking individual cases as you go. Not only does this reduce the likelihood of bugs and errors, it also helps you write more effective and more reliable code.</p>
<p>In this course, instructor Bethan Palmer covers the essentials of unit testing in Java to showcase the benefits of test-driven development. Explore practical topics including common assertions, comparing arrays, and testing exceptions as well as some of the more advanced features of JUnit, the Java unit testing framework that lets you run parameterized tests. Along the way, take advantage of the opportunity to practice writing your own unit tests with hands-on, interactive coding exercises.</p><p>This course is integrated with GitHub Codespaces, an instant cloud developer environment that offers all the functionality of your favorite IDE without the need for any local machine setup. With GitHub Codespaces, you can get hands-on practice from any machine, at any time—all while using a tool that you’ll likely encounter in the workplace.</p>",Course,2024-07-17 23:00 UTC,N/A,false,N/A,
Pensamento Estratégico,"Pensamento estratégico é a capacidade de pensar em escalas grande e pequena, em prazos longo e curto, no passado e no presente. Embora o pensamento estratégico seja uma competência valiosa para todo profissional, fica mais crítico quando se escala a pirâmide organizacional. Na verdade, você pode ter dificuldade para ser promovido, ou ter sucesso como líder sem ele. No entanto, ninguém ensina formalmente o pensamento estratégico — por isso, é essencial tomar a iniciativa e aprender como aplicá-lo. Este curso prepara gerentes e líderes para que usem o pensamento estratégico ao dar direção a suas equipes e buscar soluções para problemas de negócios. Especialista em carreiras e marca pessoal, Dorie Clark mostra como reservar tempo para pensar em estratégia, obter dados, aprender com o passado, criar uma visão para o futuro e implantar o pensamento estratégico em sua equipe.",Course,2021-07-01 02:42 UTC,N/A,false,N/A,
Microsoft Azure Administrator (AZ-104) Cert Prep: 2 Manage Storage Accounts,"<p>Cloud Skills are becoming an important part of any IT professional's resume. The Microsoft Azure Administrator Associate certification vets your skills and ability to create and manage workloads in the Microsoft Azure cloud. In this course, learn the core concepts and key skills you need to know to tackle the second domain of the Microsoft Azure Administrator (Exam AZ-104) certification exam. Learn how to implement, configure, and manage storage like a pro, including Azure storage, Blob storage, file storage, secure access, and more. Upon completing this course, you’ll be equipped with the skills you need to prepare for the second domain of the exam.</p><p>This course was created by Microsoft Press. We are pleased to host this content in our library.</p>",Course,2023-04-26 02:08 UTC,N/A,false,N/A,
Git Essential Training (2023),"If you’ve ever wondered why someone should use Git or how to use it for version control, this is a great course to get started. Azure MVP and GitHub Star Barbara Forbes guides you through the installation process, the Git workflow, setting up and pushing code into a repo, and committing changes, all with a focus on version control and how Git can help you achieve it. Find out why people use Git. Learn how Git works, locally or through a provider, and how you can get it installed, configured, and running the way you need it to work. Follow the full process of pushing your code with Git, then explore ways to make changes to files. Discover important concepts in Git, like how to ignore files you don’t want to include, how branching can help you with development, what should be in a commit, and how to troubleshoot if you get into trouble. Plus, get current instruction on using GitHub Star and Microsoft MVP.",Course,2023-05-12 12:34 UTC,N/A,true,N/A,
Complete Guide to PowerShell 7,"Microsoft Certified Trainer Liam Cleary explores the comprehensive capabilities of PowerShell 7 in this detailed course designed to enhance your scripting and automation skills. Learn how to install and set up PowerShell on Windows, macOS, and Linux, ensuring a seamless cross-platform experience. Discover the core features such as modules, providers, and the PowerShell console while mastering command execution, variables, pipelines, and objects. Develop your expertise in building functions, handling errors, and creating reusable code modules. Delve into advanced topics like PowerShell remoting, interacting with web services, and constructing graphical user interfaces using Windows Forms. Learn crucial security practices for script execution and managing sensitive data. This course provides actionable insights and hands-on examples to optimize your workflow. By the end of this course, you'll be adept at leveraging PowerShell for efficient system management and automation.",Course,2025-03-31 13:47 UTC,N/A,false,N/A,
Como Passar da Colaboração à Gerência,"Antes de começar em seu primeiro cargo de gerência, é importante se preparar para uma mudança de mentalidade e prioridades. Nesse curso, a coach em liderança, autora de best-sellers e consultora Roberta Matuson explica como iniciar com êxito seu novo cargo de gerência. Roberta compartilha estratégias que ajudarão você a fazer a transição de foco em seu próprio desempenho, como colaborador individual, para foco no sucesso da equipe, como gerente. Ela ajuda você a enfrentar os obstáculos comuns, como gerenciar ex-colegas, obter o compromisso e avaliar a equipe, e se preparar para evoluir como líder.",Course,2019-04-23 20:44 UTC,N/A,false,N/A,
